Protein,Jobs,Download,Sequences ,Quality,Sequences ,Quality,Sequences ,Quality,Sequences ,Quality,Sequences ,Quality,Sequences ,Quality,Sequences ,Quality,Sequences ,Quality,Sequences ,Quality
,# ,# Results,(Seqs/L),,(Seqs/L),,(Seqs/L),,(Seqs/L),,(Seqs/L),,(Seqs/L),,(Seqs/L),,(Seqs/L),,(Seqs/L),
,,,# 0.1,,# 0.2,,# 0.3,,# 0.4,,# 0.5,,# 0.6,,# 0.7,,# 0.8,,# 0.9,
A,A_EVcouplings_UniRef90,Done,9 (0),0,10 (0),0,6 (0),0,7 (0),0,6 (0),0,7 (0),0,6 (0),0,6 (0),0,6 (0),0
Astar,Astar_EVcouplings_UniRef90,Done,571 (3.6),5,11 (0),0,11 (0),0,9 (0),0,6 (0),0,6 (0),0,6 (0),0,6 (0),0,6 (0),0
B,B_EVcouplings_UniRef90,Done,19545 (331.3),9,1363 (19.5),5,9 (0.1),0,7 (0.1),0,7 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0,4 (0),0
C,C_EVcouplings_UniRef90,Done,23097 (471.4),8,18140 (292.6),9,13 (0.2),0,9 (0.1),0,8 (0.1),0,8 (0.1),0,7 (0.1),0,4 (0.1),0,4 (0.1),0
D,D_EVcouplings_UniRef90,Done,20164 (210),9,10 (0.1),0,10 (0.1),0,10 (0.1),0,7 (0),0,6 (0),0,6 (0),0,6 (0),0,6 (0),0
E,E_EVcouplings_UniRef90,Done,103581 (2252),8,15881 (214.6),8,7 (0.1),0,7 (0.1),0,7 (0.1),0,7 (0.1),0,7 (0.1),0,7 (0.1),0,7 (0.1),0
F,F_EVcouplings_UniRef90,Done,757 (1.9),6,14 (0),0,13 (0),0,13 (0),0,12 (0),0,11 (0),0,11 (0),0,11 (0),0,9 (0),0
G,G_EVcouplings_UniRef90,Done,6655 (71.6),8,14 (0.1),0,14 (0.1),0,13 (0.1),0,13 (0.1),0,11 (0.1),0,11 (0.1),0,9 (0),0,8 (0),0
H,H_EVcouplings_UniRef90,Done,11 (0),0,9 (0),0,9 (0),0,9 (0),0,7 (0),0,7 (0),0,7 (0),0,7 (0),0,4 (0),0
J,J_EVcouplings_UniRef90,Done,12748 (637.4),7,4613 (219.7),8,1441 (72),7,286 (11.9),5,34 (1.4),4,5 (0.2),0,4 (0.2),0,2 (0.1),0,2 (0.1),0
K,K_EVcouplings_UniRef90,Done,37926 (1264),7,9554 (318.4),7,2703 (93.2),5,136 (2.8),4,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0
blat,blat_EVcouplings_UniRef90,Done,Failed,,62415 (291.7),10,13620 (54),10,10608 (41.8),10,8766 (33.8),10,6022 (22.8),10,4453 (16.9),10,4288 (16.3),10,4202 (16),10
A,A_EVcouplings_UniRef100,Done,11 (0),0,10 (0),0,7 (0),0,7 (0),0,7 (0),0,8 (0),0,7 (0),0,7 (0),0,7 (0),0
Astar,Astar_EVcouplings_UniRef100,Done,557 (3.5),6,12 (0),0,11 (0),0,9 (0),0,7 (0),0,7 (0),0,7 (0),0,7 (0),0,7 (0),0
B,B_EVcouplings_UniRef100,Done,23308 (408.9),9,1015 (10.6),5,8 (0.1),0,6 (0.1),0,6 (0.1),0,5 (0),0,5 (0),0,4 (0),0,4 (0),0
C,C_EVcouplings_UniRef100,Done,27637 (575.8),8,21437 (397.0),8,13 (0.2),0,10 (0.1),0,8 (0.1),0,8 (0.1),0,5 (0.1),0,4 (0.1),0,4 (0.1),0
D,D_EVcouplings_UniRef100,Done,16766 (169.4),10,12 (0.1),0,12 (0.1),0,12 (0.1),0,8 (0.1),0,7 (0),0,7 (0),0,7 (0),0,7 (0),0
E,E_EVcouplings_UniRef100,Done,Failed,Failed,14258 (274.2),8,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0
F,F_EVcouplings_UniRef100,Done,761 (1.9),6,14 (0),0,13 (0),0,13 (0),0,12 (0),0,11 (0),0,11 (0),0,11 (0),0,9 (0),0
G,G_EVcouplings_UniRef100,Done,7205 (74.3),8,13 (0.1),0,13 (0.1),0,12 (0.1),0,12 (0.1),0,10 (0.1),0,10 (0.1),0,9 (0.1),0,9 (0.1),0
H,H_EVcouplings_UniRef100,Done,12 (0),0,10 (0),0,10 (0),0,10 (0),0,8 (0),0,8 (0),0,8 (0),0,6 (0),0,6 (0),0
J,J_EVcouplings_UniRef100,Done,21309 (1065),8,7192 (342.5),7,2180 (109),7,312 (13),5,38 (1.5),4,7 (0.3),0,4 (0.2),0,3 (0.1),0,2 (0.1),0
K,K_EVcouplings_UniRef100,Done,46335 (1598),8,13558 (467.5),7,1277 (37.2),5,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0
blat,blat_EVcouplings_UniRef100,Done,Failed,Failed,52285 (240.9),10,13368 (52.8),10,10458 (41.2),10,7647 (29.3),10,5716 (21.6),10,4372 (16.6),10,4285 (16.3),10,4202 (16),10
A,A_EVcouplings_MGnify_UniProt,Done,124 (0.3),2,122 (0.3),2,100 (0.2),0,14 (0),0,12 (0),0,11 (0),0,11 (0),0,11 (0),0,7 (0),0
Astar,Astar_EVcouplings_MGnify_UniProt,Done,3131 (17.1),10,125 (0.4),2,127 (0.4),1,122 (0.4),2,91 (0.3),0,15 (0),0,15 (0),0,13 (0),0,12 (0),0
B,B_EVcouplings_MGnify_UniProt,Done,Failed,Failed,583 (8.1),4,11 (0.1),0,10 (0.1),0,9 (0.1),0,9 (0.1),0,5 (0),0,5 (0),0,5 (0),0
C,C_EVcouplings_MGnify_UniProt,Done,Failed,Failed,29612 (558.7),8,11 (0.1),0,13 (0.1),0,10 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0,6 (0.1),0
D,D_EVcouplings_MGnify_UniProt,Done,32787 (683.1),8,159 (1.1),3,165 (1.2),3,159 (1.1),3,157 (1.1),3,109 (0.8),3,95 (0.7),2,12 (0.1),0,12 (0.1),0
E,E_EVcouplings_MGnify_UniProt,Done,Failed,Failed,3135 (66.7),6,7 (0.1),0,7 (0.1),0,7 (0.1),0,7 (0.1),0,7 (0.1),0,7 (0.1),0,7 (0.1),0
F,F_EVcouplings_MGnify_UniProt,Done,3312 (8.5),10,3229 (8.4),10,2974 (8.6),10,161 (0.4),2,116 (0.3),0,114 (0.3),0,106 (0.3),0,92 (0.2),0,85 (0.2),0
G,G_EVcouplings_MGnify_UniProt,Done,13731 (149.3),10,14 (0.1),0,13 (0.1),0,13 (0.1),0,12 (0.1),0,12 (0.1),0,12 (0.1),0,10 (0.1),0,5 (0),0
H,H_EVcouplings_MGnify_UniProt,Done,74 (0.2),0,13 (0),0,13 (0),0,8 (0),0,7 (0),0,7 (0),0,7 (0),0,7 (0),0,7 (0),0
J,J_EVcouplings_MGnify_UniProt,Done,17661 (929.5),8,10599 (557.8),8,4828 (219.4),7,430 (20.5),6,129 (5.6),6,10 (0.3),0,6 (0.2),0,7 (0.2),0,4 (0.1),0
K,K_EVcouplings_MGnify_UniProt,Done,Failed,Failed,Failed,Failed,3639 (117.4),6,129 (3.3),5,4 (0.1),0,4 (0.1),0,4 (0.1),0,4 (0.1),0,4 (0.1),0
blat,blat_EVcouplings_MGnify_UniProt,Done,Failed,Failed,Failed,Failed,17175 (73.1),10,12728 (51.3),10,9374 (37.2),10,5288 (20.4),10,3141 (11.9),10,2734 (10.4),10,2536 (9.6),10
